Date,Close
11/6/2017,45.43
11/7/2017,46.23
11/8/2017,47.16
11/9/2017,45.64
11/10/2017,47.42
11/13/2017,47.27
11/14/2017,47.81
11/15/2017,46.42
11/16/2017,48.32
11/17/2017,49.72
11/20/2017,49.93
11/21/2017,45.84
11/22/2017,46.77
11/24/2017,46.04
11/27/2017,46.78
11/28/2017,46.94
11/29/2017,48.99
11/30/2017,49.3
12/1/2017,49.22
12/4/2017,50.32
12/5/2017,49.83
12/6/2017,50.19
12/7/2017,49.28
12/8/2017,48.95
12/11/2017,48.55
12/12/2017,49.76
12/13/2017,49.19
12/14/2017,48.56
12/15/2017,49.59
12/18/2017,49.66
12/19/2017,48.78
12/20/2017,48.33
12/21/2017,48.67
12/22/2017,48.77
12/26/2017,48.29
12/27/2017,48.58
12/28/2017,48.46
12/29/2017,48.11
1/2/2018,47.39
1/3/2018,46.72
1/4/2018,47.11
1/5/2018,47.29
1/8/2018,47.63
1/9/2018,47.3
1/10/2018,45.82
1/11/2018,45.75
1/12/2018,45.51
1/16/2018,46.44
1/17/2018,46.96
1/18/2018,46.25
1/19/2018,47.39
1/22/2018,47.65
1/23/2018,47.57
1/24/2018,47.1
1/25/2018,47.46
1/26/2018,47.34
1/29/2018,46.95
1/30/2018,46.4
1/31/2018,46.55
2/1/2018,46.78
2/2/2018,44.6
2/5/2018,44.22
2/6/2018,45.14
2/7/2018,44.8
2/8/2018,44.83
2/9/2018,45.73
2/12/2018,46.31
2/13/2018,46.65
2/14/2018,46.96
2/15/2018,47.7
2/16/2018,46.17
2/20/2018,46.08
2/21/2018,42.9
2/22/2018,43.96
2/23/2018,44.12
2/26/2018,44.37
2/27/2018,43.94
2/28/2018,43.05
3/1/2018,42.28
3/2/2018,42.02
3/5/2018,43.52
3/6/2018,43.9
3/7/2018,43.08
3/8/2018,43.14
3/9/2018,43.61
3/12/2018,43.59
3/13/2018,43.94
3/14/2018,44.2
3/15/2018,43.31
3/16/2018,43.58
3/19/2018,43.6
3/20/2018,43.12
3/21/2018,42.17
3/22/2018,42.1
3/23/2018,42.27
3/26/2018,42.47
3/27/2018,42.69
3/28/2018,43.41
3/29/2018,43.31
4/2/2018,42.25
4/3/2018,42.28
4/4/2018,43.23
4/5/2018,43.48
4/6/2018,43.73
4/9/2018,43.26
4/10/2018,42.59
4/11/2018,42.84
4/12/2018,42.67
4/13/2018,42.45
4/16/2018,42.81
4/17/2018,42.53
4/18/2018,41.84
4/19/2018,41.27
4/20/2018,40.36
4/23/2018,40.84
4/24/2018,41.08
4/25/2018,41.51
4/26/2018,41.73
4/27/2018,42.08
4/30/2018,40.78
5/1/2018,40.95
5/2/2018,39.95
5/3/2018,40.4
5/4/2018,41.02
5/7/2018,41.03
5/8/2018,41.3
5/9/2018,41.36
5/10/2018,41.19
5/11/2018,40.68
5/14/2018,40.04
5/15/2018,39.44
5/16/2018,39.48
5/17/2018,39.22
5/18/2018,34.37
5/21/2018,33.58
5/22/2018,34.37
5/23/2018,34.26
5/24/2018,34.34
5/25/2018,34.6
5/29/2018,34.25
5/30/2018,34.53
5/31/2018,33.64
6/1/2018,33.28
6/4/2018,33.36
6/5/2018,33.33
6/6/2018,33.19
6/7/2018,33.49
6/8/2018,34.05
6/11/2018,34.83
6/12/2018,35.13
6/13/2018,35.5
6/14/2018,36.51
6/15/2018,37.1
6/18/2018,36.67
6/19/2018,37.03
6/20/2018,37.2
6/21/2018,37.46
6/22/2018,38.6
6/25/2018,42.23
6/26/2018,41.31
6/27/2018,39.89
6/28/2018,40.75
6/29/2018,40.54
7/2/2018,40.29
7/3/2018,41.03
7/5/2018,41.49
7/6/2018,41.91
7/9/2018,41.55
7/10/2018,41.49
7/11/2018,42.4
7/12/2018,41.37
7/13/2018,41.05
7/16/2018,40.58
7/17/2018,41.16
7/18/2018,40.17
7/19/2018,40.95
7/20/2018,40.5
7/23/2018,40.23
7/24/2018,40.07
7/25/2018,40.22
7/26/2018,40.7
7/27/2018,40.94
7/30/2018,40.94
7/31/2018,40.9
8/1/2018,41.43
8/2/2018,41.71
8/3/2018,42.76
8/6/2018,42.68
8/7/2018,41.77
8/8/2018,41.98
8/9/2018,42.28
8/10/2018,41.35
8/13/2018,41.51
8/14/2018,41.75
8/15/2018,42.35
8/16/2018,42.03
8/17/2018,42.04
8/20/2018,42.18
8/21/2018,41.87
8/22/2018,41.21
8/23/2018,40.61
8/24/2018,40.68
8/27/2018,40.7
8/28/2018,39.83
8/29/2018,39.99
8/30/2018,39.15
8/31/2018,39.45
9/4/2018,39.69
9/5/2018,39.86
9/6/2018,40.05
9/7/2018,40.22
9/10/2018,40.53
9/11/2018,40.02
9/12/2018,40.27
9/13/2018,41.13
9/14/2018,41.29
9/17/2018,40.96
9/18/2018,40.06
9/19/2018,40.14
9/20/2018,40.32
9/21/2018,40.05
9/24/2018,39.83
9/25/2018,39.06
9/26/2018,38.98
9/27/2018,36.86
9/28/2018,36.63
10/1/2018,36.34
10/2/2018,36.7
10/3/2018,36.51
10/4/2018,37.19
10/5/2018,37.23
10/8/2018,38.25
10/9/2018,37.52
10/10/2018,37.72
10/11/2018,37.14
10/12/2018,37.1
10/15/2018,37.8
10/16/2018,38.4
10/17/2018,36.32
10/18/2018,36.67
10/19/2018,37.93
10/22/2018,37.95
10/23/2018,38.02
10/24/2018,38.4
10/25/2018,37.95
10/26/2018,36.73
10/29/2018,37.59
10/30/2018,38.24
10/31/2018,37.41
11/1/2018,37.94
11/2/2018,36.88
11/5/2018,37.73
11/6/2018,38.37
11/7/2018,38.35
11/8/2018,38.2
11/9/2018,38.97
11/12/2018,39.17
11/13/2018,39.25
11/14/2018,39.16
11/15/2018,39.12
11/16/2018,38.65
11/19/2018,38.45
11/20/2018,40.55
11/21/2018,39.52
11/23/2018,40.53
11/26/2018,39.02
11/27/2018,39.51
11/28/2018,39.5
11/29/2018,39.63
11/30/2018,39.2
12/3/2018,38.76
12/4/2018,38.59
12/6/2018,38.22
12/7/2018,37.77
12/10/2018,37.72
12/11/2018,38.82
12/12/2018,38.86
12/13/2018,39.4
12/14/2018,39.16
12/17/2018,38.83
12/18/2018,38.49
12/19/2018,38.65
12/20/2018,37.67
12/21/2018,35.75
12/24/2018,33.42
12/26/2018,34.25
12/27/2018,33.5
12/28/2018,33.44
12/31/2018,32.99
1/2/2019,32.26
1/3/2019,32.66
1/4/2019,32.84
1/7/2019,33.69
1/8/2019,33.59
1/9/2019,34.18
1/10/2019,34.48
1/11/2019,35.04
1/14/2019,35.04
1/15/2019,35.53
1/16/2019,35.28
1/17/2019,35.78
1/18/2019,35.49
1/22/2019,35.39
1/23/2019,35.38
1/24/2019,34.72
1/25/2019,34.24
1/28/2019,34.61
1/29/2019,34.49
1/30/2019,34.89
1/31/2019,35.43
2/1/2019,35.01
2/4/2019,35.01
2/5/2019,34.96
2/6/2019,34.19
2/7/2019,34.2
2/8/2019,34.29
2/11/2019,34.16
2/12/2019,34.56
2/13/2019,34.66
2/14/2019,34.45
2/15/2019,34.79
2/19/2019,35.01
2/20/2019,35.18
2/21/2019,35.44
2/22/2019,32.83
2/25/2019,32.26
2/26/2019,32.91
2/27/2019,36.21
2/28/2019,36.02
3/1/2019,36.35
3/4/2019,36
3/5/2019,36.1
3/6/2019,36.14
3/7/2019,35.92
3/8/2019,36.02
3/11/2019,35.9
3/12/2019,35.05
3/13/2019,35.27
3/14/2019,35.64
3/15/2019,36.01
3/18/2019,36.56
3/19/2019,36.3
3/20/2019,36.32
3/21/2019,37.86
3/22/2019,38.24
3/25/2019,38.28
3/26/2019,38.52
3/27/2019,37.95
3/28/2019,38.3
3/29/2019,38.13
4/1/2019,37.85
4/2/2019,37.62
4/3/2019,37.25
4/4/2019,37.45
4/5/2019,38.26
4/8/2019,38.53
4/9/2019,39.49
4/10/2019,39.13
4/11/2019,39.66
4/12/2019,39.81
4/15/2019,39.84
4/16/2019,39.43
4/17/2019,39.13
4/18/2019,39.39
4/22/2019,39.32
4/23/2019,38.9
4/24/2019,39
4/25/2019,38.18
4/26/2019,38.64
4/29/2019,38.34
4/30/2019,38.69
5/1/2019,38.32
5/2/2019,37.91
5/3/2019,38.27
5/6/2019,38.21
5/7/2019,38.23
5/8/2019,38.59
5/9/2019,38.96
5/10/2019,38.74
5/13/2019,38.72
5/14/2019,38.67
5/15/2019,38.98
5/16/2019,38.93
5/17/2019,39.13
5/20/2019,38.75
5/21/2019,38.42
5/22/2019,37.86
5/23/2019,38.11
5/24/2019,37.53
5/28/2019,36.78
5/29/2019,36.22
5/30/2019,35.8
